QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20150317_000027	Sebelumnya di sini tempat yang tenang, tidak ada waktu sementara atau waktu ketika monster pergi.
QUEST_UNUSED_20150317_000028	Jika kamu hanya meninggalkan hanya monsterku, Itu untuk menemukan dan menyerang jiwa yang berkumpul di sini.
QUEST_UNUSED_20150317_000029	Orang-orang sekarang lebih baik mood Denis berkurang walau sedikit.
QUEST_UNUSED_20150317_000030	Orang-orang telah memutuskan untuk mengubur keluarga mereka di sini. {nl}Sekarang telah ditinggalkan di tanah ini untuk membongkar semua monster.
QUEST_UNUSED_20150317_000031	Ini adalah waktu dimana mendengar sedikit demi sedikit tangis kesedihan dari keluarga yang ditinggalkan ... Waktu yang berharga.
QUEST_UNUSED_20150317_000032	Meskipun relic yang kamu miliki belum cukup besar, bahkan terlihat tapi itu cukup bagus.
QUEST_UNUSED_20150317_000033	Gambar dari owl lain telah kembali jiwa pasti India. {nl} Itu adalah sebuah masalah yang terjadi di sekitar barrier sudah jelas.
QUEST_UNUSED_20150317_000034	Apa yang mungkin, tapi aku merasa kita hanya ada di dalam sesuatu.
QUEST_UNUSED_20150317_000035	Itu masih Asmodian. {nl} Di sini ketenangan orang-orang telah dirusak.
QUEST_UNUSED_20150317_000036	Jiwa yang melarikan diri ke utara mungkin tahu informasi tentang orang itu.
QUEST_UNUSED_20150317_000037	Lost Spirit
QUEST_UNUSED_20150317_000038	Jika kamu masih hidup. {nl} Namun, kamu tidak pernah aman.
QUEST_UNUSED_20150317_000039	Asmodian tidak tahu apa yang mengendus, tapi ... Barrier ku, kamu harus selalu membukanya.
QUEST_UNUSED_20150317_000040	Aku pergi untuk menemukan sebuah gambar owl lebih dalam. {nl} Atau kami akan membantu agar bisa kabur dari sini?
QUEST_UNUSED_20150317_000041	Monster akan kami kejar jika mencoba untuk menyerap jiwa. {nl} Lakukan untuk mengetahui kekuatan jahat yang tertangkap.
QUEST_UNUSED_20150317_000042	Terima kasih banyak! {nl} Aku bisa meninggalkan dengan tujuan jurang ini.
QUEST_UNUSED_20150317_000043	Regret Souls
QUEST_UNUSED_20150317_000044	Aku tahu. Jiwa pergi ke utara sebelumnya {nl} tidak akan bisa mencapai ke sana. {nl} Namun, bida pergi ke gambar daro owl lain di atas. {nl} Untuk Sakumori kami di atas bukit, Aku tidak tahu ya kita bisa pergi.
QUEST_UNUSED_20150317_000045	Monster mengapa mengejar kita. {nl} Itu menyakitkan. Juga kekalahan…
QUEST_UNUSED_20150317_000046	Apakah kata-katanya benar? Nante menyumbat {nl}.
QUEST_UNUSED_20150317_000047	Itu bukan jahe. {nl} Setelah aku membiarkanmu tahu bahwa jiwa dimana sebaliknya. {nl} Ada satu gambar owl di utara. Dan coba pergi ke sana.
QUEST_UNUSED_20150317_000048	Aku ingin pergi sebelum itu mengumpulkan orang-orang lagi.
QUEST_UNUSED_20150317_000049	Sacred Owl Image
QUEST_UNUSED_20150317_000050	Aku telah diserang mengikuti dengan memindai semua cuka yang bermutasi dari hari lainnya. {nl} juga tubuhku terbuat dari kayu jika kamu meninggalkan ini, kamu akan segera rusak!
QUEST_UNUSED_20150317_000051	Ya tidak ingin membuat penjelajahanku terendap oleh sisa-sisa jiwa lagi…
QUEST_UNUSED_20150317_000052	Ini adalah orang-orang yang tidak bermoral ketika kecil.
QUEST_UNUSED_20150317_000053	Sedih, tapi gambar kami tidak mengizinkan kamu memikul misi dari pematung. {nl} Untuk dapat melindungi diri sendiri. {nl}
QUEST_UNUSED_20150317_000054	Jiwa bertanggung jawab terlalu banyak.
QUEST_UNUSED_20150317_000055	Itu hebat!
QUEST_UNUSED_20150317_000056	Lanjutkan ke selatan. {nl} Akan ada sebuah patung yang retak sepertiku.
QUEST_UNUSED_20150317_000057	Melancholy Owl Image.
QUEST_UNUSED_20150317_000058	Ini aneh orang yang hidup tinggal di sini. Jangan melihat jiwa {nl}, sepertinya beberapa tahun telah berlalu.
QUEST_UNUSED_20150317_000059	Terima kasih untukmu, beberapa tahun terakhir kamu mampu bertahan.
QUEST_UNUSED_20150317_000060	Monster yang kamu lihat tidak beralasan menuju ke arah kami. {nl} Untuk mencegah monster, kamu harus menghapus empty owl. {nl} Karena Hollow Vendor menggunakan perangkap. {nl} Kamu harus memastikan gambar di valley deep di dalam empty owl.
QUEST_UNUSED_20150317_000061	Jiwa akan menemukan owl. {nl}Akan menyebabkan gigitan ke empty owl. {nl} Jiwa orang-orang tahu sekali fakta tersesat untuk menemukan kami.
QUEST_UNUSED_20150317_000062	Untuk menggunakan sejumlah besar gambar.
QUEST_UNUSED_20150317_000063	Jiwa yang sudah disebutkan, itu adalah tempat dimana jiwa telah menemukan owl. {nl} Sekarang, itu akan diisi dengan perangkap dari Hollow Vendor tanpa alasan memasangnya. {nl} Perangkap dari gerombolan Hollow Vendor akan menjadi ancaman bagi semua orang.
QUEST_UNUSED_20150317_000064	Jika jiwamu kehilangan arah, kami akan mencari jiwa lain. {nl} Perangkap yang berkilau, membuat jiwaku tergoda.
QUEST_UNUSED_20150317_000065	Aku punya banyak perangkap.
QUEST_UNUSED_20150317_000066	Hollow Venter aalah seperti yang ada di lingkungan Yorusu~euru. {nl} Itu aneh.
QUEST_UNUSED_20150317_000067	Peripheral Hollow Vendor ingin mengalahkan sekelompok semut untuk dipajang. {nl} Jika kamu tidak keluar, itu harus dilakukan.
QUEST_UNUSED_20150317_000068	atau dimana monster muncul?
QUEST_UNUSED_20150317_000069	Jika tidak keluar juga. {nl} Ada sebuah ide.
QUEST_UNUSED_20150317_000070	Bahkan Nante ini tidak keluar Hollow Venter of key, pasti ada suatu tempat dimana bisa mengatakan kepadaku {nl}.
QUEST_UNUSED_20150317_000071	Kamu jelas mewakili sosok itu dan kamu tiba.
QUEST_UNUSED_20150317_000072	Ini kuncinya .. barrier.
QUEST_UNUSED_20150317_000073	Aku membuka pintu depan dengan kunci. {nl} Akan ada jiwa pendamping yang membimbing jiwa ke sisi lain barrier. {nl} Jiwa itu akan menolongmu.
QUEST_UNUSED_20150317_000074	Kadang-kadang di dalam jiwa, ada orang-orang yang melayani dan dibiarkan daripada menerimanya. Jiwa adalah kategori itu.
QUEST_UNUSED_20150317_000075	Assistant soul
QUEST_UNUSED_20150317_000076	Halo! {nl} Oh, apakah kamu masih hidup.
QUEST_UNUSED_20150317_000077	Aku telah melewati banyak waktu untuk mendapatkan India. Namun, aku belum mendapatkannya. {nl} Sebelum kamu datang, tadinya aku akan menyerah. {nl} Sekarang pergi dan tolong buka barrier. Tolong katakan yakin {nl} dan menuju gambar owl di sini sekarang dan jaga keselamatan!
QUEST_UNUSED_20150317_000078	Aku? Ceritaku, tergantung keadaan ...
QUEST_UNUSED_20150317_000079	Ketika mengalahkan Asmodian, beban yang dimiliki menghilang. {nl} Tapi tidak bagiku. Terima kasih sudah membukakan pintu.
QUEST_UNUSED_20150317_000080	Mohon dengarkan nasihat dari Soul of The Assistant. {nl} Jika tersesat dan butuh bantuan.
QUEST_UNUSED_20150317_000081	Aku dalam masalah. Kekuatan itu, juga mungkin dilakukan jika itu Asmodian?
QUEST_UNUSED_20150317_000082	Oh, tapi katamu itu adalah jiwa. {nl} Itu hilang di sebuah tempat di bukit yang tinggi.
QUEST_UNUSED_20150317_000083	Jika terlihat, aku akan memberikan informasi arah ke mesin. {nl} Ada banyak dark slime terlihat di jalan. {nl} Jelas akan menjadi ancaman besar untukmu.
QUEST_UNUSED_20150317_000084	Hal yang pasti, tidak pernah berkelompok. {nl} Namun, aku bingung sekali.
QUEST_UNUSED_20150317_000085	Jiwa Tak Bernama
QUEST_UNUSED_20150317_000086	Owl kami sedang menunggumu. {nl} Selamat datang.
QUEST_UNUSED_20150317_000087	Memiliki seperti itu atau hitam. {nl} Pematung sepertinya mencarinya di hutan ini, keyakinan yang menyedihkan.
QUEST_UNUSED_20150317_000088	Juga dada ini sakit melihat sisa-sisa yang tersebar di depannya.
QUEST_UNUSED_20150317_000089	Red Puragiga mengancam kami. Tolong lihat jika kamu berjalan sekitar sini {nl}.
QUEST_UNUSED_20150317_000090	Dan diantara yang ada seekor Black Sakumori .. Kamu tidak akan bisa melaluinya. {nl} penuh dengan Black Sakumori di atas bukit.
QUEST_UNUSED_20150317_000091	Bagaimana melindungi aku sedang berpikir. Dan tapi telinga {nl} jiwa Nelayan tertelan, DP akan terasa. {nl} Jika nelayan mengunjungi DP tertelan.
QUEST_UNUSED_20150317_000092	Aku menunggu owl image
QUEST_UNUSED_20150317_000093	Silence of the forest (1)
QUEST_UNUSED_20150317_000094	Aku akan mengalahkan Black Zigri.
QUEST_UNUSED_20150317_000095	Silence of the forest (2)
QUEST_UNUSED_20150317_000096	Sisa-sisa Notice / jiwaku mengatakan owl image yang lemah.
QUEST_UNUSED_20150317_000097	Silence of the forest (3)
QUEST_UNUSED_20150317_000098	Kami mengusulkan untuk mengkonformasi barrier.
QUEST_UNUSED_20150317_000099	Silence of the forest (4)
QUEST_UNUSED_20150317_000100	Untuk memberikan yang mencoba menemukan jiwa.
QUEST_UNUSED_20150317_000101	Jiwa yang telah dimasuki racun (1)
QUEST_UNUSED_20150317_000102	Aku akan mengalahkan Puragi.
QUEST_UNUSED_20150317_000103	Jiwa yang telah dimasuki racun (2)
QUEST_UNUSED_20150317_000104	Aku akan mengalahkan Black Sakamoli.
QUEST_UNUSED_20150317_000105	Jiwa yang telah dimasuki racun (3)
QUEST_UNUSED_20150317_000106	Untuk memberikan sebagai percobaan untuk memeriksa owl image.
QUEST_UNUSED_20150317_000107	Jiwa yang telah dimasuki racun (4)
QUEST_UNUSED_20150317_000108	Checking /MAKING/2.5/TRACK_BEFORE/None
QUEST_UNUSED_20150317_000109	Permintaan bantuan dari Owl Image.
QUEST_UNUSED_20150317_000110	Aku akan mengalahkan Desmodus.
QUEST_UNUSED_20150317_000111	Asmodian basah kuyup di hutan (1)
QUEST_UNUSED_20150317_000112	Kami akan memberikan bantuan.
QUEST_UNUSED_20150317_000113	Asmodian basah kuyup di hutan (2)
QUEST_UNUSED_20150317_000114	Kami akan mengunjungi Owl Image.
QUEST_UNUSED_20150317_000115	Jiwa Hunter (1)
QUEST_UNUSED_20150317_000116	Kami akan mengkonfirmasi Owl Image.
QUEST_UNUSED_20150317_000117	Jiwa Hunter (2)
QUEST_UNUSED_20150317_000118	Bantu kami menghilangkan perangkap.
QUEST_UNUSED_20150317_000119	Jiwa Hunter (3)
QUEST_UNUSED_20150317_000120	Aku akan mengalahkan Hallowventers.
QUEST_UNUSED_20150317_000121	Jiwa Hunter (4)
QUEST_UNUSED_20150317_000122	Aku akan mengalahkan Hallowventer.
QUEST_UNUSED_20150317_000123	Membuka barrier (1)
QUEST_UNUSED_20150317_000124	Membuka barrier (2)
QUEST_UNUSED_20150317_000125	Aku bersedia berbicara dengan jiwa dari Owl Image.
QUEST_UNUSED_20150317_000126	Jiwa Tersesat (1)
QUEST_UNUSED_20150317_000127	Jiwa Tersesat (2)
QUEST_UNUSED_20150317_000128	Aku akan mengalahkan Dark Slime.
QUEST_UNUSED_20150317_000129	Jiwa Tersesat (3)
QUEST_UNUSED_20150317_000130	Serangan BiteRegina
QUEST_UNUSED_20150317_000131	Serangan Werewolf
QUEST_UNUSED_20150317_000132	Notice /! / Kalahkan Werewolf!
QUEST_UNUSED_20150317_000133	Ma menduduki Mage Tower.
QUEST_UNUSED_20150317_000134	Grace on Wealth [Pardoner Advancement](4)
QUEST_UNUSED_20150317_000135	Dibalik pintu rahasia.
QUEST_UNUSED_20150317_000136	Aku akan ambil taruhannya.
QUEST_UNUSED_20150317_000137	Aku menerima tesnya.
QUEST_UNUSED_20150317_000138	Rasa ingin tahu positif.
QUEST_UNUSED_20150317_000139	Aku akan melakukannya.
QUEST_UNUSED_20150317_000140	Aku akan berinteraksi dengan Owl Image lemah.
QUEST_UNUSED_20150317_000141	Memasuki Top Grip Peak
QUEST_UNUSED_20150317_000142	Berpindah ke Top Grip Peak
QUEST_UNUSED_20150317_000143	Hitam atau perwatan lebih.
QUEST_UNUSED_20150317_000144	Aku akan mengalahkan Black atau lebih.
QUEST_UNUSED_20150317_000145	Memulihkan sisa-sisa.
QUEST_UNUSED_20150317_000146	Kumpulkan Urn Box yang bertebaran di pintu masuk Top Grip Peak
QUEST_UNUSED_20150317_000147	Periksa soul of the barrier.
QUEST_UNUSED_20150317_000148	Kembali untuk meyakinkan Soul of the barrier.
QUEST_UNUSED_20150317_000149	Berbicara dengan Lost Spirit.
QUEST_UNUSED_20150317_000150	Untuk berbicara dengan Lost Spirit untuk mendaki sepanjang jalan di utara.
QUEST_UNUSED_20150317_000151	Aku akan berbicara dengan Lost Spirit.
QUEST_UNUSED_20150317_000152	Perawatan Red Plastic Machine.
QUEST_UNUSED_20150317_000153	Aku melakukan perawatan Red Plastic Machine.
QUEST_UNUSED_20150317_000154	Berbicara kepada Regret Souls.
QUEST_UNUSED_20150317_000155	Aku akan berbicara dengan Regret Souls.
QUEST_UNUSED_20150317_000156	Perawatan Black Sakumori.
QUEST_UNUSED_20150317_000157	Aku akan mengalahkan Black Sakumori.
QUEST_UNUSED_20150317_000158	Perawatan Kurosaka Molly.
QUEST_UNUSED_20150317_000159	Periksa Owl Image.
QUEST_UNUSED_20150317_000160	Aku akan memeriksa Owl Image.
QUEST_UNUSED_20150317_000161	Kalahkan monster yang berkelompok.
QUEST_UNUSED_20150317_000162	Aku akan mengalahkan monster yang berkelompok.
QUEST_UNUSED_20150317_000163	Berbicara dengan Sacred Owl Image.
QUEST_UNUSED_20150317_000164	Aku berbicara dengan Sacred Owl Image.
QUEST_UNUSED_20150317_000165	Gereja Kematian
QUEST_UNUSED_20150317_000166	Memeriksa Gereja Kematian.
QUEST_UNUSED_20150317_000167	Nelayan, dan bagian pemulihan DP.
QUEST_UNUSED_20150317_000168	Nelayan, itu memperoleh kembali bagian dari DP.
QUEST_UNUSED_20150317_000169	Perawatan Red Fisherman.
QUEST_UNUSED_20150317_000170	Berbicara dengan Gloomy Owl Image.
QUEST_UNUSED_20150317_000171	Aku berbicara dengan Gloomy Owl Image.
QUEST_UNUSED_20150317_000172	Periksa Empty Owl Image.
QUEST_UNUSED_20150317_000173	Aku akan memeriksa Empty Owl Image.
QUEST_UNUSED_20150317_000174	Perangkap Penghilang Jiwa.
QUEST_UNUSED_20150317_000175	Kamu ingin menghapus dengan mencari perangkap jiwa.
QUEST_UNUSED_20150317_000176	Load treatment of Necroventer.
QUEST_UNUSED_20150317_000177	Aku akan mengalahkan Load of Necroventer.
QUEST_UNUSED_20150317_000178	Load treatment of Soul of Hunter.
QUEST_UNUSED_20150317_000179	Kalahkan Key Keeper Hello Vendor.
QUEST_UNUSED_20150317_000180	Aku mendapatkan key dengan mengalahkan Key Keeper Hello Venter.
QUEST_UNUSED_20150317_000181	Key Keeper
QUEST_UNUSED_20150317_000182	Load of Hollow Vendor.
QUEST_UNUSED_20150317_000183	Berbicara dengan Soul of Assistant.
QUEST_UNUSED_20150317_000184	Aku berbicara dengan Soul of the Assistant.
QUEST_UNUSED_20150317_000185	Aku mengalahkan raksasa yang mengganggu.
QUEST_UNUSED_20150317_000186	Aku sudah mengalahkan monster yang mengganggu.
QUEST_UNUSED_20150317_000187	Mengalahkan sisa-sisa Necroventer.
QUEST_UNUSED_20150317_000188	Mengalahkan Black Slime.
QUEST_UNUSED_20150317_000189	Aku akan mengalahkan Black Slime.
QUEST_UNUSED_20150317_000190	Periksa lokasi yang mencurigakan.
QUEST_UNUSED_20150317_000191	Aku sudah memeriksa lokasi yang mencurigakan.
QUEST_UNUSED_20150317_000192	Selama batas waktu, pertahanan wilayah.
QUEST_UNUSED_20150317_000193	Aku bertahan selama batas waktu menahan serangan monster.
QUEST_UNUSED_20150317_000194	Berbicara dengan Soul of Unknown Name .
QUEST_UNUSED_20150317_000195	Aku akan berbicara dengan Soul of Unknown Name.
QUEST_UNUSED_20150317_000196	Kalahkan monster yang menghalangi jalan.
QUEST_UNUSED_20150317_000197	Kalahkan BiteRegina.
QUEST_UNUSED_20150317_000198	BiteRegina treatment
QUEST_UNUSED_20150317_000199	Werewolf muncul.
QUEST_UNUSED_20150317_000200	Kalahkan Werewolf yang muncul tiba-tiba.
QUEST_UNUSED_20150317_000201	Kalahkan Werewolf
QUEST_UNUSED_20150317_000202	Kalahkan Hamin
QUEST_UNUSED_20150317_000203	King Ma mencari yang menguasai Mage Tower.
QUEST_UNUSED_20150317_000204	Tolong cari Helgasercle yang menguasai Mage Tower.
QUEST_UNUSED_20150317_000205	Bertemu dengan Item Merchant of Fedimian
QUEST_UNUSED_20150317_000206	Berbicara dengan Swordsman Master yang tiba-tiba muncul .
QUEST_UNUSED_20150317_000207	Entah bagaimana, Swordsman Master ingin mengatakan sesuatu. Bicara dengannya.
QUEST_UNUSED_20150317_000208	Hidden Quest Muncul.
QUEST_UNUSED_20150317_000209	Hidden Quest telah muncul. Kalahkan Banshee di belakang pintu yang tertutup di Katyn.
QUEST_UNUSED_20150317_000210	Ujian dari Swordsman Master sudah selesai. Temui Swordsman master di Klaipeda.
QUEST_UNUSED_20150317_000211	Kalahkan Banshee
QUEST_UNUSED_20150317_000212	Wizard Master tiba-tiba muncul dan bicara dengannya.
QUEST_UNUSED_20150317_000213	Entah bagaimana, Wizard Master ingin mengatakan sesuatu. Bicara dengannya. {nl}
QUEST_UNUSED_20150317_000214	Temukan Wizard Master.
QUEST_UNUSED_20150317_000215	Ujian dari Wizard Master berhasil diselesaikan. Berbicara dengan Wizard Master di Klaipeda.
QUEST_UNUSED_20150317_000216	Berbicara dengan Archer Master yang tiba-tiba muncul.
QUEST_UNUSED_20150317_000217	Bow Master ada sesuatu yang ingin dikatakan. Bicara dengannya.
QUEST_UNUSED_20150317_000218	Muncul Hidden Quest. Kalahkan Banshee di belakang pintu yang tertutup di Katyn.
QUEST_UNUSED_20150317_000219	Berhasil menyelesaikan tes dari Archer Master. Berbicara dengan  Archer Master di Klaipeda.
QUEST_UNUSED_20150317_000220	Berbicara dengan Cleric Master yang tiba-tiba muncul.
QUEST_UNUSED_20150317_000221	Cleric Master ingin mengatakan sesuatu. Bicara dengannya.
QUEST_UNUSED_20150317_000222	Berhasil menyelesaikan tes dari Cleric Master. Bicara dengan Cleric Master di Klaipeda.
QUEST_UNUSED_20150317_000223	Gatekeeper Owl ingin mengujimu. Bicara dengan Gatekeeper Owl.
QUEST_UNUSED_20150317_000224	Diperoleh dari Cathedral of Marble Sculpture.
QUEST_UNUSED_20150317_000225	Berbicara dengan Owl Image dari Gatekeeper Owl, dan kembalikan ke Sculptor Tesla. Dapatkan kembali Sculpture of Marble dari Cathedral of Monsters.
QUEST_UNUSED_20150317_000226	Memberikan Marble Sculpture ke Sculptor Tesla.
QUEST_UNUSED_20150317_000227	Sepertinya telah mencari potongan Marble sculpture secara cukup. Bawalah potongan Marble sculpture kepada Tesla yang merupakan Sculptor yang ada di Rhombuspaving.
QUEST_UNUSED_20150323_000228	Memasuki Kule Peak
QUEST_UNUSED_20150323_000229	Berpindah ke Kule Peak
QUEST_UNUSED_20150323_000230	Mengumpulkan Urns yang bertebaran di pintu masuk Kule Peak 
QUEST_UNUSED_20150323_000231	Sepertinya telah mencari potongan Marble sculpture secara cukup. Bawalah potongan Marble sculpture kepada Tesla yang merupakan Sculptor yang ada di Vieta gorge.
QUEST_UNUSED_20150714_000232	Walau begitu, tolong habisi monster yang ada di sekitar sini.{nl} Terdapat laporan bahwa monster telah berubah menjadi ganas di Rodoma Hisotoric Site 1st.
QUEST_UNUSED_20150714_000233	Pokoknya, bagus. {nl} Aku membutuhkan Soul of Essence yang dimiliki oleh jiwa yang bergentayangan di Grave of the Unknown Soldier.{nl} Karena tidak masalah mendapatkannya dengan cara apapun, maka dapatkanlah Soul of Essence dari mereka.
QUEST_UNUSED_20150714_000234	Tetapi hal yang kuinginkan adalah jiwa yang murni.{nl} Taruhlah dua buah Soul Stone yang kau bawa pada Treasures of the soul, lalu lakukan pemurnian.
QUEST_UNUSED_20150714_000235	Metal board yang baru saja ditemukan.. Bagaimana pun sepertinya tersisa bagian selanjutnya.{nl} Metal board yang kutemukan itu adalah semuanya padahal, masalah besar ini.{nl}
QUEST_UNUSED_20150714_000236	Ah, masih terdapat satu tempat yang belum ditemukan. Polsas Highway.{nl} Maukah kau mencoba pergi kesana?
QUEST_UNUSED_20150714_000237	Apakah semuanya berjalan baik?{nl} Pemikiranku cukup pendek sepertinya.
QUEST_UNUSED_20150714_000238	Ini adalah material penelitian. Gantikanlah Gitis dan berkata untuk memberikan material penelitian kepada Cyromancer Master.
QUEST_UNUSED_20150714_000239	Terdapat seseorang raksasa yang memimpin para Wood Goblin itu.
QUEST_UNUSED_20150714_000240	Entah apakah dapat menemukan Giant Wood Goblin secara langsung di tempat ini Laukyme Swamp.{nl} Jika bertemu, walaupun sulit tolong habisi dia.
QUEST_UNUSED_20150714_000241	Ia adalah lawan yang kuat dan bertubuh besar. Berhati-hatilah.
QUEST_UNUSED_20150714_000242	Jika bermaksud menghadapinya, kuanjurkan untuk melakukannya bersamaan dengan orang lainnya juga.
QUEST_UNUSED_20150714_000243	Sudah kukira anda dapat mengalahkannya...{nl}Tuan Savior sangatlah kuat diluar perkiraanku. Sungguh mengagumkan.{nl} Jika bersama dengan tuan Savior, maka restorasi monastery sepertinya hal yang mudah.
QUEST_UNUSED_20150714_000244	Sedang menyusun handout
QUEST_UNUSED_20150714_000245	Sedang membakar api
QUEST_UNUSED_20150714_000246	Notice/Telah menyerahkan Soul's urn kepada Weak Owl Statue
QUEST_UNUSED_20150714_000247	Sedang memasang kunci
QUEST_UNUSED_20150714_000248	Sedang memasang umpan
QUEST_UNUSED_20150714_000249	Sedang memasang herbicide
QUEST_UNUSED_20150714_000250	Notice/Hancurkan Supply Box dan lacaklah Vube yang kabur!#10
QUEST_UNUSED_20150714_000251	Notice/Lacaklah suku Vubbe yang kabur!#8
QUEST_UNUSED_20150714_000252	Notice/Berpindahlah ke area berikutnya#5
QUEST_UNUSED_20150714_000253	Notice/!/Bunuhlah Lepus yang menghalangi jalan!#8
QUEST_UNUSED_20150714_000254	Notice/Telah membunuh Lepus yang menghalangi jalan!#8
QUEST_UNUSED_20150714_000255	Sedang membakar
QUEST_UNUSED_20150714_000256	Kalau tak terlihat tidak dapat dibaca
QUEST_UNUSED_20150714_000257	Menjinakkan Bom(1)
QUEST_UNUSED_20150714_000258	Bertanya tentang bagaimana cara menjinakkan.
QUEST_UNUSED_20150714_000259	Berkata jinakkan dengan kemampuan sendiri.
QUEST_UNUSED_20150714_000260	Menjinakkan Bom(2)
QUEST_UNUSED_20150714_000261	Berkata akan menjinakkan Bom
QUEST_UNUSED_20150714_000262	Sampai seekor terakhir
QUEST_UNUSED_20150714_000263	Berkata akan berusaha keras.
QUEST_UNUSED_20150714_000264	Bagaimanapun orang seperti itu sulit diatasi dan ditolak.
QUEST_UNUSED_20150714_000265	Menjinakkan Bom
QUEST_UNUSED_20150714_000266	Telah menemukan Bom setelah mengelilingi Sentry Bailey. Bertanyalah kepada Sapper Master mengenai cara untuk menjinakkan Bom.
QUEST_UNUSED_20150714_000267	Sapper Master bermaksud menjelaskan mengenai cara menjinakkan bom. Bicaralah dengan Sapper Master.
QUEST_UNUSED_20150714_000268	Melepaskan Bom
QUEST_UNUSED_20150714_000269	Ambillah Bomb dengan menggunakan Bomb Removal Kit sesuai dengan yang diajarkan oleh Sapper Master.
QUEST_UNUSED_20150714_000270	Berikanlah Bomb yang telah diambil kembali pada Sapper Master.
