QUEST_20150317_000001	Pilih user untuk memodifikasi quest.
QUEST_20150317_000043	Force Start?
QUEST_20150317_000044	Items yang akan di hapus.
QUEST_20150317_000045	Pilih tipe gen.
QUEST_20150317_000046	Pilih Koordinat
QUEST_20150317_000047	Knight Titas
QUEST_20150317_000048	Jika begitu, temui Knight Commander Uska di Klaipeda.  {nl} Tapi sebelum itu, aku ingin memberitahu sesuatu, ikuti aku.
QUEST_20150317_000049	Semoga aku punya sedikit waktu untuk istirahat..
QUEST_20150317_000050	Sparnas.. {nl}Sangat sulit ditebak..
QUEST_20150317_000051	Soldier Moody
QUEST_20150317_000052	Kita lanjutkan bicaranya setelah mengalahkan monster.
QUEST_20150317_000053	Bergabung dengan tim investigasi - Scott.
QUEST_20150317_000054	Aku menunggu hari dimana tim kita tidak dibutuhkan lagi.. {nl}Ah, Maksudku adalah hari yang damai. Haha.. {nl}
QUEST_20150317_000055	Aku tidak tahu harus berbuat apa. {nl}Apakah kamu sudah mendengar kabar?
QUEST_20150317_000056	Kami dikirim oleh kerajaan untuk menginvestigasi kejadian aneh yang ada di hutan.  {nl} Para saksi bilang mereka melihat wajah raksasa dengan jari yang besar  {nl} Kira-kira apa itu?
QUEST_20150317_000057	Dulu, para peziarah sering melewati hutan ini. {nl}Tetapi, sekarang, yang ada hanya monster.
QUEST_20150317_000058	4 tahun yang lalu, para Goddess sering menampakkan diri mereka dari waktu ke waktu.  {nl} Tapi sekarang, mereka tidak pernah muncul meskipun kita sering berdoa.  {nl} Apakah mereka mengabaikan kita?
QUEST_20150317_000059	Vecenin mengurus banyak tugas dengan pergi dari satu daerah ke daerah lainnya.  {nl} Dia bilang sangat tidak efektif jika hanya tinggal di satu kota.
QUEST_20150317_000060	Apakah kamu pernah berpikir untuk tinggal terus di sini atau menjadi prajurit?  {nl} Dengan senang hati aku akan merekomendasikanmu ke head commander.
QUEST_20150317_000061	Tetap siaga. Kamu tidak akan tahu kapan dan dimana monster datang menyerang.
QUEST_20150317_000062	Aku membayangkan dimana Goddess Zemyna berada..
QUEST_20150317_000063	Sebenarnya ini apa ya?
QUEST_20150317_000064	Sepertinya The Goddess of Earth - Zemyna akan sangat sedih dibandingkan siapapun.
QUEST_20150317_000065	Pokubu sudah berada di sini sejak lama.  {nl} Namun monster yang tidak jelas juga muncul di sekitarnya.
QUEST_20150317_000066	Aku berpikir tentang itu. Para Goddess telah mengabaikan kita. {nl}Jika tidak, pasti tidak ada monster sebanyak itu.
QUEST_20150317_000067	Aku dengar ada orang yang tinggal di hutan dekat sini yang menerima kekuatan dari Goddess..
QUEST_20150317_000068	Aku ingin kembali ke kampung halamanku.
QUEST_20150317_000069	Jumlah dari monster sepertinya tidak berkurang walau sudah kita bunuh.
QUEST_20150317_000070	Savior, Apakah Julian yang mengirimmu?
QUEST_20150317_000071	Tidak mungkin. {nl}Kamu adalah orang pertama yang aku temui setelah beberapa tahun di hutan ini. {nl}
QUEST_20150317_000072	Aku akan menunjukkan apa yang aku lihat.
QUEST_20150317_000073	Pergilah dan jangan hiraukan diriku. {nl}Ah, bunga-bunga yang indah mulai muncul.
QUEST_20150317_000074	Lena
QUEST_20150317_000075	Ceritakan aku tentang pengalamanmu.  {nl} Seperti kata Vivora, kami mencatat semua yang terjadi didunia.
QUEST_20150317_000076	Henryka
QUEST_20150317_000077	Halo. Ini adalah Magical Association's cabang Klaipeda.  {nl} Kami mempelajari hal misterius yang terjadi ketika spesial item dikombinasikan.
QUEST_20150317_000078	Hanya ada uap dan Vubbes di sini.  {nl} Sesosok wajah besar muncul.. Kira-kira apa ya?
QUEST_20150317_000079	Aku harus menyadarkan diri. {nl} Dunia belum berakhir.. Bukan begitu?
QUEST_20150317_000080	Saat kebaikan berlanjut, orang percaya akan mendapat kebaikan. {nl}Mungkin fakta yang ada jika kita terlalu bergantung kepada Goddess juga tidak baik bagi kita.
QUEST_20150317_000081	Bulletin Board
QUEST_20150317_000082	Selamat datang di kota Tambang Klaipeda!
QUEST_20150317_000083	Indifferent Widow
QUEST_20150317_000084	Aku tidak tahu alasannya  {nl} Tetapi satu hal yang pasti bahwa para Goddess tidak menghilang secara bersamaan.
QUEST_20150317_000085	Goddess pertama yang menghilang adalah Goddess Gabija.  {nl} Aku mendengar hal itu sejak lama.  {nl} Lalu setelah itu, satu per satu Goddess lain mulai tidak merespon.  {nl}
QUEST_20150317_000086	Goddess Vakarine telah menghilang sebelum Divine Day. {nl}Zemyna dan Ausrine adalah yang terakhir namun juga menghilang. {nl}Semua terjadi empat tahun lalu. {nl}
QUEST_20150317_000087	Itu benar. Goddess Laima itu yang paling ganjil.  {nl} Tidak ada yang tahu kapan dia menghilang.  {nl}
QUEST_20150317_000088	Bukankah Goddess Laima adalah Goddess dari takdir dan kebijaksanaan?  {nl} Harusnya dia tahu semua yang akan terjadi ya kan?
QUEST_20150317_000089	Resting Soldier
QUEST_20150317_000090	Dulu aku juga seorang petualang seperti dirimu, namun setelah aku terkena panah itu.. {nl}
QUEST_20150317_000091	Itu tidak penting. Hadapi aku monster!
QUEST_20150317_000092	Para Goddess ada di dalam mimpiku.. {nl}Itu sangat mempesona..
QUEST_20150317_000093	Aku mempunyai tugas untuk melindungi kerajaan ini. Itulah mengapa aku ada di sini.
QUEST_20150317_000094	Uska adalah kawan lamaku.  {nl}
QUEST_20150317_000095	Kami menjalani ujian menjadi knights bersama, dan Uska menjadi seperti sekarang karena bantuanku. {nl}Ha ha, Masa lalu yang menyenangkan..Aku merindukanmu Uska!
QUEST_20150317_000096	Jangan terlalu mempercayai perkataannya. {nl}Dia dikenal sebagai penipu ulung di desa kami.
QUEST_20150317_000097	Aku? Aku hanya meninggalkanya karena itu menyenangkan.
QUEST_20150317_000098	Umm.. Aku tarik perkataanku untuk tidak mempercayainya. {nl}
QUEST_20150317_000099	Semua yang dia katakan adalah bohong, jangan mempercayainya.
QUEST_20150317_000100	Siauliai Guard
QUEST_20150317_000101	Di luar batas ini terdapat banyak monster, berhati-hatilah.
QUEST_20150317_000102	Tempat ini tidak begitu damai tapi setidaknya lebih baik daripada daerah lain.  {nl} Di hutan lain, tidak ada orang, yang ada hanya spirit berterbangan.
QUEST_20150317_000103	Orang-orang sepertimu yang bermimpi tentang Goddess, kami menyebutnya Savior.  {nl}
QUEST_20150317_000104	Pertama kali aku pikir para Savior itu gila.  {nl} Itu mulai terjadi semenjak para Goddess menghilang.  {nl}
QUEST_20150317_000105	Setelah semua itu, mereka tidak pernah menjawab kami sejak 4 tahun lalu.
QUEST_20150317_000106	Master dari tiap class berada diseluruh penjuru kerajaan.  {nl} Kenapa kamu tidak mencoba belajar dari mereka?
QUEST_20150317_000107	Kamu tidak tahu Medzio Diena? Kamu pasti baru di area ini.  {nl} Itu adalah hari dimana divine monument di kota bagian tengah mulai kacau.  {nl}
QUEST_20150317_000108	Itu adalah bencana yang membuat penduduk terluka dan mati.  {nl} Bahkan monster yang baik menjadi jahat dan muncul monster lainnya.  {nl}
QUEST_20150317_000109	Pergilah ke Klaipeda jika kamu penasaran yang terjadi dengan Divine Tree 4 tahun lalu.  {nl} Banyak korban selamat pergi ke sana.
QUEST_20150317_000110	Easter Woods Sentinel
QUEST_20150317_000111	Apa kamu mencoba masuk ke Easter Woods? {nl}Jangan pernah ke sana. Terlalu berbahaya! {nl}
QUEST_20150317_000112	Uh, Mereka sangat keras kepala..!!
QUEST_20150317_000113	Teriakan ini... Kita diserang!
QUEST_20150317_000114	Peraturan keamanan
QUEST_20150317_000115	1. Hanya personil yang terdaftar yang bisa masuk.  {nl} 2. Hanya boleh melewati jalur yang di berikan Mine Manager.  {nl}
QUEST_20150317_000116	3. Jangan memasuki daerah terlarang.  {nl} 4. Laporkan orang yang mencoba masuk ke Mine tanpa ijin ke Klaipeda Knight Templars.
QUEST_20150317_000117	Supply Base Soldier
QUEST_20150317_000118	Aku belum terbiasa dengan pertempuran nyata jadi aku agak sedikit gugup.
QUEST_20150317_000119	Farm Sentinel
QUEST_20150317_000120	Temanku sedang bertempur di Miner's Village. {nl}Aku ingin membantunya, tapi East Forest juga sedang dalam masalah sehingga aku khawatir.
QUEST_20150317_000121	Aku pikir aku sudah melihat semua macam monster dalam hidupku.  {nl} Tapi ternyata itu hanya Vubbe.
QUEST_20150317_000122	Chupacabra suka tinggal di dekat sungai dan daerah subur di arah utara.
QUEST_20150317_000123	Klaipeda Guard Captain
QUEST_20150317_000124	Kamu adalah..
QUEST_20150317_000125	Aku dengar mereka terlihat di bagian dalam hutan atas.  {nl} Agar lebih aman, jangan mengusik mereka terlebih dahulu.
QUEST_20150317_000126	Kamu tidak memiliki item untuk melanjutkan quest. Apakah kamu ingin melanjutkan setelah membuat item?
QUEST_20150317_000127	Klaipeda Girl
QUEST_20150317_000128	Pria itu adalah tetanggaku dan dulunya seorang monster hunter.  {nl} Tapi sekarang sudah berhenti karena monsternya semakin beringas dan berbahaya.
QUEST_20150317_000129	Aku harap kemunculan savior adalah pertanda dari kembalinya Goddess.
QUEST_20150317_000130	Hanya bergantung pada Goddess adalah hal yang bodoh,  {nl}namun lebih baik daripada tidak bergantung pada apapun.
QUEST_20150317_000131	Klaipeda Madam
QUEST_20150317_000132	Tanaman masih bisa tumbuh di tanah ini dan kita masih diberikan kehangatan di dalam rumah. {nl}Aku percaya bahwa Goddess masih ada di suatu tempat di dunia ini.
QUEST_20150317_000133	Tetaplah berdoa.  {nl} Agar Goddess mengirimkan seseorang untuk menyelamatkan kita.
QUEST_20150317_000134	Hoplite Master
QUEST_20150317_000135	Jika sword adalah lambang kekuasaan, maka spear adalah senjata untuk menghancurkan.  {nl} Kekuasaan dan senjata. Yang mana pilihanmu jika berada di medan pertempuran?
QUEST_20150317_000136	Machine Worker
QUEST_20150317_000137	Meskipun dunia sedang kacau, aku tidak bisa bersantai. {nl}Empat tahun telah berlalu, jadi kita harus tenang dan mulai dari awal.
QUEST_20150317_000138	Mining adalah mata pencaharian utama di Klaipeda.  {nl} Jika kita berhenti bekerja karena Divine Day, kita harus tetap bekerja dengan mengukir kayu.
QUEST_20150317_000139	Pamanku bilang, kamu harus teliti saat bertualang.  {nl} Terkadang, jika kamu beruntung, kamu bisa menemukan treasure chests disekitar. Kira-kira siapa yang membawanya ya?
QUEST_20150317_000140	Retired Hunter
QUEST_20150317_000141	Aku melihat para prajurit bertarung melawan monster besar di Deep Canyon. {nl}Aku sangat kaget mereka dapat mengalahkan monster itu, tapi aku lebih terkejut dengan hadiah yang mereka dapatkan.
QUEST_20150317_000142	Old Potter
QUEST_20150317_000143	Aku menaruh harapan di setiap tembikar yang aku panggang. {nl}Aku melakukan ini, agar berkat dari Goddess diberikan secara penuh.
QUEST_20150317_000144	Class Swordsman mengutamakan Strength.  {nl} Tapi kamu juga bisa menguasai Agility atau Constitution.  {nl} Kamu harus menitik beratkan pada pilihan yang kamu inginkan.
QUEST_20150317_000145	ClassWizard mengutamakan Intelligence.  {nl} Namun kamu juga tidak boleh melupakan Spirit jika kamu ingin bisa menggunakan banyak magic.  {nl} Pilihlah dengan bijak antara keseimbangan dan fokus pada serangan.  {nl}
QUEST_20150317_000146	Class Archer mengutamakan Strength.  {nl} Namun agility juga sangat penting.  {nl} Pikirkan dengan baik jalan mana yang akan kamu tuju.  {nl}
QUEST_20150317_000147	Class Cleric mengutamakan Intelligence.  {nl} Tapi kamu juga butuh strength atau juga spirit.  {nl} Perkirakan kamu ingin memilih role yang seperti apa nanti.  {nl}
QUEST_20150317_000148	Doppelsoldner Master
QUEST_20150317_000149	Resiko besar, Keuntungan besar. {nl}Jika kamu menginginkan keuntungan yang besar, berarti kamu harus mengambil resiko yang besar.
QUEST_20150317_000150	Corsair Master
QUEST_20150317_000151	Aku tidak perlu menolong orang lain jika tidak mendapatkan keuntungan.
QUEST_20150317_000152	Batu Besar
QUEST_20150317_000153	Tertutup oleh batu yang besar..
QUEST_20150317_000154	Perlu diperbaiki..
QUEST_20150317_000155	Tertutup oleh batu besar..
QUEST_20150317_000156	Magical Research Material
QUEST_20150317_000157	Sepertinya itu adalah bahan penelitian magic dari magician di Magicians' Tower. {nl}Haruskah aku salin?
QUEST_20150317_000158	Bersembunyi dan menyusup bukanlah segalanya. {nl}Kemampuan bertempur juga dibutuhkan Scouts.
QUEST_20150317_000159	Kamu membutuhkan berbagai perlengkapan saat bepergian. {nl}Akan lebih baik jika kamu membeli dan mempersiapkannya.
QUEST_20150317_000160	Jika spell untuk mengendalikan magic berhenti, wahyu dari Goddess  tidak bisa di lindungi lagi.
QUEST_20150317_000161	Unnamed Thief's Gravestone
QUEST_20150317_000162	Aku akan meninggalkan ukiran pada batu ini. {nl}Dengan segala martabatku sebagai thief yang terhebat aku akan menantang magician terkuat.
QUEST_20150317_000163	Bisakah aku bilang, bahwa aku bisa sukses hanya dengan mencuri? {nl}Sepertinya aku bisa bilang, aku bisa sukses hanya karena mencuri dari magician terhebat. {nl}
QUEST_20150317_000164	Tapi, Aku tidak ingin seperti itu. {nl}Aku ingin menjadi thief terhebat sepanjang masa, tidak hanya terhebat dalam masa ini.
QUEST_20150317_000165	Akhirnya, Aku menemukan cara untuk masuk ke Magicians' Tower. {nl}Itu adalah memusatkan kekuatan magic ke suatu tempat. {nl}Sekarang, aku hanya butuh menentukan langkah yang tepat.
QUEST_20150317_000166	Nanti, perangkat khusus milliku akan menyala. {nl}Jika kamu mengikuti aku, kamu juga bisa masuk ke Magicians' Tower. {nl}
QUEST_20150317_000167	Tentu saja, setelah itu, kamu harus berhadapan dengan magician yang bodoh. Haha!
QUEST_20150317_000168	Commanding Monument
QUEST_20150317_000169	Aku membunuh thief yang masuk ke tower dan mencuri barang dengan api. {nl}Tapi, Aku meninggalkan batu nissan para thief untuk memperingatkan para penyusup. {nl} -Agailla Flurry-
QUEST_20150317_000170	Demon Queen Gesti
QUEST_20150317_000171	Beraninya kamu manusia biasa..  {nl}
QUEST_20150317_000172	Tunggu dan lihatlah. Ini belum selesai. {nl}Berdoa pada Laima agar menyelamatkan dunia.
QUEST_20150317_000173	Klaipeda Officer
QUEST_20150317_000174	Selamat Datang. Uska telah menunggu di Klaipeda middle square. {nl}Adakah sesuatu yang tidak kamu mengerti?
QUEST_20150317_000175	Apa kamu ingin segera ke Klaipeda sekarang juga?  {nl} Pikirkan baik-baik.
QUEST_20150317_000176	Temporary Operator
QUEST_20150317_000177	Silahkan ganti status karakter.
QUEST_20150317_000178	NPC HIDE/UNHIDE Setting!
QUEST_20150317_000179	Follower Algis
QUEST_20150317_000180	Waktunya sudah tiba dimana Goddess meramalkan tentang Paladin pertama. {nl}Oke, silahkan bertanya padaku.
QUEST_20150317_000181	Dahulu kala, ada pengembara, yang terkena kutukan dan penyakit, berjalan di sekitar. {nl}Sang Paladin pertama menyembuhkan kutukan mereka dengan Divine Water.
QUEST_20150317_000182	Scouts adalah keturunan para pengembara. {nl}Tapi, fungsi utama dari Divine Water bukanlah untuk menyembuhkan orang itu.
QUEST_20150317_000183	Suatu hari, Sang Goddess meminta kepada Paladin pertama untuk menjaga wahyu. {nl}Saat dia berpikir bagaimana cara menyembunyikannya, para pengembara yang terkutuk mulai muncul. {nl}
QUEST_20150317_000184	Sang Paladin pertama berjanji untuk menghentikan kutukan itu kepada ketiga pengembara. {nl}
QUEST_20150317_000185	Untuk membangun Tenet Church bersama.  {nl}Untuk menyembunyikan Divine Water di tanah ini dan menyimpannya. {nl}Untuk bertempur bersama saat terjadi krisis di tanah ini. {nl}
QUEST_20150317_000186	Semua ini dilakukan untuk melindungi wahyu yang tersimpan di Tenet Cathedral Shrine.
QUEST_20150317_000187	Divine Water diciptakan untuk melindungi wahyu. {nl}Dibuat untuk menarik perhatian Demon Queen dan menghancurkannya. {nl}
QUEST_20150317_000188	Selalu ada kata jika. {nl}Jika strategi ini gagal, dan tidak dapat dihindari pertempuran final akan terjadi di Chapel.
QUEST_20150317_000189	Pawndel
QUEST_20150317_000190	Ada apa?
QUEST_20150317_000191	Benarkah?
QUEST_20150317_000192	Pawnd
QUEST_20150317_000193	Apa yang terjadi?
QUEST_20150317_000194	Gesti bilang kepada kita untuk melindungi tempat ini.
QUEST_20150317_000195	Jadi apa yang harus kita lakukan sekarang?
QUEST_20150317_000196	Apakah ini tempat yang benar?
QUEST_20150317_000197	Explaining
QUEST_20150317_000198	Aku memberitahu bagian dari wahyu yang aku dapatkan di Crystal Mine.
QUEST_20150317_000199	Aku tidak tahu seberapa hebat kamu di luar sana  {nl}tapi di sini, kamu harus mengikuti peraturan dari kerajaan.  {nl}Sama seperti Kalis Knights. Kami adalah hukum di sini
QUEST_20150317_000200	Grave Thief Juvertas
QUEST_20150317_000201	Sepertinya aku bisa gila jika tinggal di tempat yang hancur ini selama beberapa hari. {nl}Kenapa dia belum juga datang!
QUEST_20150317_000202	Thief Benjaminas
QUEST_20150317_000203	Kami ingin menyebut diri kami sebagai archeologists, tapi semua orang menyebut kami pencuri. {nl}Memanfaatkan object yang tidak dimiliki oleh seorangpun adalah sesuatu yang sangat berharga. {nl}Itu lebih baik daripada membiarkannya di sini hingga rusak dan membusuk.
QUEST_20150317_000204	A Citizen's Journal
